id,bin_type,collection_date
2024-11-04,Rubbish bin,2024-11-07
2024-11-11,Recycling bin,2024-11-14
2024-11-18,Rubbish bin,2024-11-21
2024-11-25,Recycling bin,2024-11-28
2024-12-02,Rubbish bin,2024-12-05
2024-12-09,Recycling bin,2024-12-12
2024-12-16,Rubbish bin,2024-12-19
2024-12-23,Recycling bin,2024-12-28
2024-12-30,Rubbish bin,2025-01-04
2025-01-06,Recycling bin,2025-01-10
2025-01-13,Rubbish bin,2025-01-16
2025-01-20,Recycling bin,2025-01-23
2025-01-27,Rubbish bin,2025-01-30
2025-02-03,Recycling bin,2025-02-06
2025-02-10,Rubbish bin,2025-02-13
2025-02-17,Recycling bin,2025-02-20
2025-02-24,Rubbish bin,2025-02-27
2025-03-03,Recycling bin,2025-03-06
2025-03-10,Rubbish bin,2025-03-13
2025-03-17,Recycling bin,2025-03-20
2025-03-24,Rubbish bin,2025-03-27
2025-03-31,Recycling bin,2025-04-03
2025-04-07,Rubbish bin,2025-04-10
2025-04-14,Recycling bin,2025-04-17
2025-04-21,Rubbish bin,2025-04-24
2025-04-28,Recycling bin,2025-05-01
2025-05-05,Rubbish bin,2025-05-08
2025-05-12,Recycling bin,2025-05-15
2025-05-19,Rubbish bin,2025-05-22
2025-05-26,Recycling bin,2025-05-29
2025-06-02,Rubbish bin,2025-06-05
2025-06-09,Recycling bin,2025-06-12
2025-06-16,Rubbish bin,2025-06-19
2025-06-23,Recycling bin,2025-06-26
2025-06-30,Rubbish bin,2025-07-03
2025-07-07,Recycling bin,2025-07-10
2025-07-14,Rubbish bin,2025-07-17
2025-07-21,Recycling bin,2025-07-24
2025-07-28,Rubbish bin,2025-07-31
2025-08-04,Recycling bin,2025-08-07
2025-08-11,Rubbish bin,2025-08-14
2025-08-18,Recycling bin,2025-08-21
2025-08-25,Rubbish bin,2025-08-28
2025-09-01,Recycling bin,2025-09-04
2025-09-08,Rubbish bin,2025-09-11
2025-09-15,Recycling bin,2025-09-18
2025-09-22,Rubbish bin,2025-09-25
2025-09-29,Recycling bin,2025-10-02
2025-10-06,Rubbish bin,2025-10-09
2025-10-13,Recycling bin,2025-10-16
2025-10-20,Rubbish bin,2025-10-23
2025-10-27,Recycling bin,2025-10-30
2025-11-03,Rubbish bin,2025-11-06
2025-11-10,Recycling bin,2025-11-13
2025-11-17,Rubbish bin,2025-11-20
2025-11-24,Recycling bin,2025-11-27
